id,title,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id,roles
1,Dashboard,Dashboard,/,,dashboard,,,,,,,1,0,0,0,2
2,Analytics,Google Analytics,analytics,/analytics,line-chart,,,,,,,4,0,0,0,"3,4"
3,Summary,,,/analytics,star-half-o,,,,,,,1,0,2,2,"3,4"
4,Devices,,devices,/analytics/devices,tablet,,,,,,,2,0,2,2,"3,4"
5,Demographics,,demographics,/analytics/demographics,female,,,,,,,5,0,2,2,"3,4"
6,Visits and Referrals,,visits-and-referrals,/analytics/visits-and-referrals,cloud,,,,,,,3,0,2,2,"3,4"
7,Interests,,interests,/analytics/interests,heart,,,,,,,4,0,2,2,"3,4"
8,Latest Activity,Latest Activity,latest-activity,/latest-activity,history,,,,,,,5,0,0,0,4
9,Website,,website,/latest-activity/website,home,,,,,,,1,0,8,8,4
10,Admin,Admin,admin,/latest-activity/admin,lock,,,,,,,2,0,8,8,4
11,Testimonials,Testimonials,testimonials,/general/testimonials,commenting-o,Info,List of all the testimonials on the website,How,Please complete the form to create the testimonial,How,Please complete the form to edit the selected testimonial,3,0,17,17,4
12,Locations,,locations,/general/locations,globe,,,,,,,4,0,17,17,4
13,Countries,Countries,countries,/general/locations/countries,map-marker,,,,,,,4,0,12,12,4
14,Provinces,Provinces,provinces,/general/locations/provinces,map-marker,,,,,,,3,0,12,12,4
15,Cities,,cities,/general/locations/cities,map-marker,,,,,,,2,0,12,12,4
16,Suburbs,,suburbs,/general/locations/suburbs,map-marker,,,,,,,1,0,12,12,4
17,General,General Website,general,/general,cubes,,,,,,,5,0,0,0,4
18,Reports,,reports,/reports,bar-chart,,,,,,,7,0,0,0,4
19,Summary,,summary,/reports/summary,align-left,,,,,,,1,0,18,18,4
20,Contact Us,,contact-us,/reports/contact-us,comments-o,,,,,,,2,0,18,18,4
21,Settings,,settings,/settings,cogs,,,,,,,8,0,0,0,4
22,Website,,website,/settings/website,unlock-alt,,,,,,,1,0,21,21,4
23,Admin,,admin,/settings/admin,lock,,,,,,,2,0,21,21,4
24,Navigation,,navigation,/settings/website/navigation,align-center,Help,All the menu items for the website.,Help,"You can set the HTML Title and HTML Description.<br/>
You can select the parent (under which navigation is this item).<br/>
You can specify if the menu is hidden.",,,1,0,22,22,4
25,Changelogs,,changelogs,/settings/website/changelogs,file-text-o,,,,,,,2,0,22,22,4
26,Navigation,,navigation,/settings/admin/navigation,align-center,Help,Helpfull text here - explaining what u can do here...,Information,Please complete the form to create the navigation,,,1,0,23,23,4
27,Administrators,,users,/settings/admin/users,users,,,,,,,2,0,23,23,4
28,Admin Invites,,invites,/settings/admin/users/invites,,,,,,,,1,1,27,27,4
29,Profile,,profile,/profile,user,,,,,,,9,1,0,0,4
30,Navigation Order,Navigation Order,order,/settings/admin/navigation/order,list-ol,,,,,,,1,1,26,26,4
31,Navigation Order,Navigation Order,order,/settings/website/navigation/order,list-ol,,,,,,,1,1,24,24,4
32,Banners,Banners,banners,/general/banners,image,,,,,,,2,0,17,17,4
33,Subscription Plans,Subscription Plans,subscription-plans,/settings/website/subscription-plans,money,,,,,,,3,0,22,22,4
34,Roles,Roles,roles,/settings/roles,universal-access,,,,,,,3,0,21,21,4
35,Features,Features,features,/settings/website/subscription-plans/features,tags,,,,,,,1,0,33,33,4
36,Blog,Blog,blog,/blog,newspaper-o,,,,,,,4,0,0,0,4
37,Articles,Articles,articles,/blog/articles,newspaper-o,,,,,,,1,0,36,36,4
38,Categories,Categories,categories,/blog/categories,cubes,,,,,,,2,0,36,36,4
39,Tags,Tags,tags,/general/tags,tags,,,,,,,1,0,17,17,4
40,FAQ,FAQ,faqs,/faqs,question,,,,,,,6,0,0,0,4
41,FAQ Questions,FAQ Questions,,/faqs,question,,,,,,,2,0,40,40,4
42,Categories,Categories,categories,/faqs/categories,cubes,,,,,,,1,0,40,40,4
43,Claim,Claim,claim,/claim,book,,,,,,,2,0,0,0,4
44,New Claim,New Claim,new-claim,/claim/new-claim,book,,,,,,,2,0,43,43,4
45,Claims,Claims,claim,/claim,book,,,,,,,1,0,43,43,4
46,Deletion,Deletion,deletion,/claim/deletion,book,,,,,,,3,0,43,43,4
50,Approval,Approval,approval,/claim/approval,ok,,,,,,,4,0,43,43,4
47,Unit,Unit,unit,/unit,cubes,,,,,,,3,0,0,0,4
48,Site,Site,site,/unit/site,cubes,,,,,,,1,0,47,47,4
49,Zone,Zone,zone,/unit/zone,cubes,,,,,,,2,0,47,47,4
